"Cena";"Waluta";"Cena.w.PLN";"KM";"kW";"Marka";"Model";"Wersja";"Liczba.drzwi";"Pojemnosc.skokowa";"Przebieg.w.km";"Rodzaj.paliwa";"Rok.produkcji";"Kolor";"Kraj.aktualnej.rejestracji";"Kraj.pochodzenia";"Skrzynia.biegow"
10000;"PLN";10000;NA;NA;"Opel";"Omega";"B FL";"4/5";2000;NA;"olej napedowy (diesel)";1999;"czarny-metallic";"Polska";"";"manualna"
9900;"PLN";9900;NA;NA;"Ford";"Focus";"Mk1";"4/5";1800;NA;"olej napedowy (diesel)";2001;"zielony-metallic";"";"";"manualna"
14800;"PLN";14800;101;74;"Opel";"Zafira";"A";"4/5";NA;185000;"olej napedowy (diesel)";2001;"srebrny-metallic";"Polska";"";"manualna"
3800;"PLN";3800;NA;NA;"Ford";"Escort";"Mk5";"2/3";1800;160;"olej napedowy (diesel)";1992;"czerwony";"Polska";"Niemcy";"manualna"
18800;"PLN";18800;69;51;"Opel";"Corsa";"C";"4/5";1248;76000;"olej napedowy (diesel)";2006;"niebieski-metallic";"Polska";"";"manualna"
8700;"PLN";8700;75;55;"Opel";"Astra";"II";"4/5";1598;NA;"benzyna";1999;"granatowy-metallic";"Niemcy";"Niemcy";"manualna"
20900;"PLN";20900;75;55;"Renault";"Clio";"III";"2/3";1200;111000;"benzyna";2008;"czarny-metallic";"";"Wlochy";"manualna"
20200;"PLN";20200;NA;NA;"Opel";"Corsa";"D";"4/5";1300;160000;"olej napedowy (diesel)";2007;"bialy";"";"Polska";"manualna"
22300;"PLN";22300;150;110;"Opel";"Vectra";"C";"4/5";1910;NA;"olej napedowy (diesel)";2008;"";"Polska";"Polska";"manualna"
10900;"PLN";10900;60;44;"Renault";"Twingo";"";"2/3";1149;18000;"benzyna";2009;"zielony";"";"";"manualna"
800;"PLN";800;54;40;"Renault";"Clio";"I";"4/5";1149;NA;"benzyna";1996;"czerwony-metallic";"Polska";"";"manualna"
91000;"CZK";15570,1;102;75;"Renault";"Scenic";"";"4/5";1870;158000;"olej napedowy (diesel)";2002;"czarny";"";"";"manualna"
499;"PLN";499;82;60;"Opel";"Vectra";"B";"4/5";1994;NA;"olej napedowy (diesel)";1998;"bordowy-metallic";"";"Wielka Brytania";"manualna"
19000;"PLN";19000;100;74;"Opel";"Astra";"III";"4/5";1686;140000;"olej napedowy (diesel)";2004;"szary";"Polska";"Niemcy";"manualna"
5500;"EUR";24292,4;90;66;"Opel";"Astra";"III";"2/3";1248;39000;"olej napedowy (diesel)";2009;"niebieski-metallic";"";"Holandia";"manualna"
1500;"PLN";1500;NA;NA;"Opel";"Corsa";"C";"2/3";1300;NA;"olej napedowy (diesel)";2003;"niebieski-metallic";"Wielka Brytania";"";"manualna"
51400;"PLN";51400;96;71;"Ford";"Fiesta";"";"4/5";1400;NA;"benzyna";2011;"wilniowy-metallic";"";"";"manualna"
8900;"PLN";8900;82;60;"Opel";"Astra";"II";"4/5";1995;189000;"olej napedowy (diesel)";2000;"bialy";"Polska";"Niemcy";"manualna"
9600;"PLN";9600;NA;NA;"Ford";"Focus";"Mk1";"4/5";1753;187000;"olej napedowy (diesel)";2003;"granatowy-metallic";"Niemcy";"Niemcy";"manualna"
24900;"PLN";24900;130;96;"Renault";"Megane";"II";"4/5";1870;180000;"olej napedowy (diesel)";2007;"niebieski-metallic";"";"Francja";"manualna"
86500;"CZK";14800,15;192;141;"Opel";"Astra";"";"2/3";1998;102700;"benzyna";2003;"niebieski";"";"Luksemburg";"manualna"
2000;"PLN";2000;90;66;"Ford";"Puma";"";"2/3";1388;87000;"benzyna";1998;"czarny-metallic";"Polska";"Niemcy";"manualna"
44550;"PLN";44550;75;55;"Renault";"Clio";"III";"4/5";1149;NA;"benzyna";2011;"bezowy-metallic";"";"";"manualna"
4900;"PLN";4900;NA;NA;"Opel";"Vectra";"B";"4/5";1600;174000;"benzyna";1996;"";"";"";"manualna"
15800;"PLN";15800;75;55;"Ford";"Fiesta";"Mk6";"2/3";1400;90000;"olej napedowy (diesel)";2007;"szary-metallic";"";"";"manualna"
12000;"CZK";2053,2;73;54;"Renault";"19";"";"";1721;221000;"benzyna";1992;"czerwony-metallic";"";"";"manualna"
22000;"PLN";22000;NA;NA;"Ford";"Fiesta";"";"4/5";1400;14430;"olej napedowy (diesel)";2010;"fioletowy";"";"";"manualna"
24600;"PLN";24600;125;92;"Opel";"Vectra";"C";"4/5";2171;194000;"olej napedowy (diesel)";2003;"srebrny-metallic";"Polska";"Niemcy";"manualna"
29900;"PLN";29900;100;74;"Opel";"Astra";"III";"4/5";1686;77000;"olej napedowy (diesel)";2008;"niebieski-metallic";"Polska";"Polska";"manualna"
18900;"PLN";18900;68;50;"Ford";"Fiesta";"Mk6";"4/5";1400;140000;"olej napedowy (diesel)";2005;"";"";"";"manualna"
9500;"PLN";9500;163;120;"Renault";"Laguna";"II";"4/5";1998;131000;"benzyna";2003;"czarny-metallic";"";"Niemcy";"manualna"
11700;"PLN";11700;100;74;"Ford";"Focus";"Mk1";"4/5";1596;169000;"benzyna";2001;"granatowy-metallic";"Polska";"Niemcy";"manualna"
1400;"PLN";1400;NA;NA;"Ford";"Fiesta";"Mk3";"2/3";1191;142000;"benzyna";1994;"";"Polska";"Niemcy";"manualna"
17500;"PLN";17500;64;47;"Renault";"Twingo";"";"2/3";1500;69594;"olej napedowy (diesel)";2008;"granatowy-metallic";"";"Francja";"manualna"
15700;"PLN";15700;65;48;"Renault";"Modus";"";"4/5";1500;130234;"olej napedowy (diesel)";2005;"czarny-metallic";"";"Francja";"manualna"
22800;"PLN";22800;90;66;"Ford";"Focus";"Mk2";"4/5";NA;113000;"olej napedowy (diesel)";2006;"niebieski-metallic";"";"Belgia";"manualna"
23500;"PLN";23500;120;88;"Renault";"Scenic";"II";"4/5";1900;130000;"olej napedowy (diesel)";2005;"srebrny-metallic";"Polska";"Niemcy";"manualna"
20000;"PLN";20000;110;81;"Renault";"Laguna";"II";"4/5";1900;146000;"olej napedowy (diesel)";2005;"granatowy-metallic";"Polska";"Polska";"manualna"
17900;"PLN";17900;101;74;"Renault";"Scenic RX4";"";"4/5";1900;156000;"olej napedowy (diesel)";2001;"srebrny-metallic";"";"";"manualna"
17900;"PLN";17900;65;48;"Renault";"Modus";"";"4/5";1500;117000;"olej napedowy (diesel)";2005;"czarny-metallic";"";"";"manualna"
9500;"PLN";9500;100;74;"Renault";"Laguna";"II";"4/5";NA;116000;"olej napedowy (diesel)";2004;"srebrny-metallic";"Wielka Brytania";"Wielka Brytania";"manualna"
15200;"PLN";15200;115;85;"Opel";"Zafira";"A";"4/5";1800;105000;"benzyna";2001;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
5500;"PLN";5500;NA;NA;"Opel";"Vectra";"B";"4/5";NA;NA;"benzyna";1997;"granatowy-metallic";"Polska";"";"manualna"
29900;"PLN";29900;100;74;"Opel";"Astra";"III";"4/5";1686;91000;"olej napedowy (diesel)";2007;"czarny-metallic";"Polska";"Holandia";"manualna"
109000;"CZK";18649,9;131;96;"Ford";"Mondeo";"";"4/5";1998;203942;"olej napedowy (diesel)";2005;"niebieski";"";"";"manualna"
9900;"PLN";9900;NA;NA;"Opel";"Corsa";"C";"2/3";1200;146000;"benzyna";2004;"bialy";"Polska";"Polska";"manualna"
136000;"CZK";23269,6;116;85;"Ford";"Galaxy";"";"4/5";1896;167000;"olej napedowy (diesel)";2000;"srebrny-metallic";"";"Niemcy";"manualna"
199000;"CZK";34048,9;120;88;"Opel";"Zafira";"";"4/5";1910;112689;"olej napedowy (diesel)";2007;"niebieski-metallic";"";"";"manualna"
10800;"PLN";10800;80;59;"Opel";"Astra";"II";"4/5";1700;186000;"olej napedowy (diesel)";1999;"granatowy-metallic";"Polska";"";"manualna"
18500;"PLN";18500;90;66;"Opel";"Astra";"II";"4/5";1364;1e+05;"benzyna";2006;"granatowy";"";"Polska";"manualna"
29900;"PLN";29900;120;88;"Opel";"Vectra";"C";"4/5";1910;140000;"olej napedowy (diesel)";2007;"czarny-metallic";"";"";"manualna"
59900;"PLN";59900;130;96;"Opel";"Insignia";"";"4/5";1956;96000;"olej napedowy (diesel)";2009;"srebrny-metallic";"Polska";"";"manualna"
5500;"PLN";5500;150;110;"Ford";"Windstar";"";"4/5";2979;190000;"benzyna";1996;"zielony-metallic";"Polska";"";"automatyczna"
7300;"PLN";7300;60;44;"Ford";"KA";"";"2/3";1300;165000;"benzyna";1998;"czarny";"";"";"manualna"
28900;"PLN";28900;NA;NA;"Renault";"Clio";"III";"2/3";NA;39000;"olej napedowy (diesel)";2010;"bialy";"Polska";"";"manualna"
8799;"PLN";8799;75;55;"Opel";"Astra";"II";"4/5";1700;173000;"olej napedowy (diesel)";1999;"srebrny-metallic";"Polska";"";"manualna"
9600;"PLN";9600;NA;NA;"Opel";"Vectra";"B";"4/5";2000;NA;"olej napedowy (diesel)";1999;"srebrny-metallic";"Belgia";"Belgia";"manualna"
9399;"PLN";9399;101;74;"Opel";"Vectra";"B";"4/5";1598;239000;"benzyna";2000;"bordowy-metallic";"Polska";"Polska";"manualna"
10600;"PLN";10600;100;74;"Ford";"Focus";"Mk1";"4/5";1600;115000;"olej napedowy (diesel)";2002;"srebrny-metallic";"";"";"manualna"
25499;"PLN";25499;90;66;"Ford";"Focus";"Mk2";"4/5";1560;NA;"olej napedowy (diesel)";2007;"czarny-metallic";"Polska";"Holandia";"manualna"
25900;"PLN";25900;120;88;"Opel";"Vectra";"C";"4/5";1910;111600;"olej napedowy (diesel)";2005;"srebrny-metallic";"Polska";"";"manualna"
23900;"PLN";23900;100;74;"Renault";"Trafic";"";"4/5";1900;207000;"olej napedowy (diesel)";2002;"bialy";"";"Holandia";"manualna"
89000;"CZK";15227,9;116;85;"Ford";"Mondeo";"";"4/5";1998;168000;"olej napedowy (diesel)";2001;"czarny-metallic";"";"";"manualna"
17900;"PLN";17900;85;63;"Renault";"Megane";"II";"4/5";NA;220000;"olej napedowy (diesel)";2007;"czerwony";"";"Polska";"manualna"
22800;"PLN";22800;86;63;"Renault";"Clio";"III";"4/5";1500;59000;"olej napedowy (diesel)";2008;"czarny-metallic";"";"";"manualna"
239900;"CZK";41046,89;125;92;"Ford";"Mondeo";"";"4/5";1753;92010;"olej napedowy (diesel)";2008;"czarny-metallic";"";"";""
10000;"PLN";10000;95;70;"Renault";"Megane";"I";"4/5";1390;92000;"benzyna";2001;"czerwony";"Polska";"Polska";"manualna"
11400;"PLN";11400;110;81;"Renault";"Scenic";"I";"4/5";1598;166700;"benzyna";2000;"srebrny-metallic";"Polska";"Niemcy";"manualna"
3200;"PLN";3200;82;60;"Opel";"Astra";"I";"2/3";1389;188000;"benzyna+LPG";1993;"niebieski";"Polska";"Niemcy";"automatyczna"
39900;"PLN";39900;120;88;"Opel";"Zafira";"B";"4/5";1910;NA;"olej napedowy (diesel)";2008;"grafitowy";"";"";"manualna"
24100;"PLN";24100;115;85;"Ford";"Galaxy";"Mk2";"4/5";1900;190000;"olej napedowy (diesel)";2001;"czarny-metallic";"";"Niemcy";"manualna"
10900;"PLN";10900;115;85;"Ford";"Mondeo";"Mk3";"4/5";2000;115000;"olej napedowy (diesel)";2003;"srebrny-metallic";"Polska";"Niemcy";"manualna"
4300;"PLN";4300;75;55;"Opel";"Astra";"I";"4/5";1598;206000;"benzyna";1997;"zielony-metallic";"";"Niemcy";"manualna"
2600;"PLN";2600;50;37;"Ford";"Fiesta";"Mk3";"2/3";1118;NA;"benzyna";1995;"srebrny-metallic";"";"";"manualna"
39500;"PLN";39500;300;221;"Ford";"Expedition";"";"4/5";5400;150000;"benzyna+LPG";2003;"zielony-metallic";"Polska";"";"automatyczna"
45000;"CZK";7699,5;75;55;"Renault";"Kangoo";"";"4/5";1390;151107;"benzyna";1998;"niebieski";"";"Niemcy";"manualna"
9900;"PLN";9900;NA;NA;"Renault";"Clio";"II";"4/5";1390;112000;"benzyna";2000;"";"Polska";"Niemcy";"automatyczna"
6900;"PLN";6900;NA;NA;"Ford";"Focus";"Mk1";"4/5";1753;NA;"olej napedowy (diesel)";2000;"bialy";"";"Niemcy";"manualna"
24500;"PLN";24500;120;88;"Renault";"Megane";"II";"2/3";1900;190000;"olej napedowy (diesel)";2004;"srebrny-metallic";"Polska";"Polska";"manualna"
25000;"PLN";25000;145;107;"Ford";"Mondeo";"Mk3";"4/5";2000;184000;"benzyna";2007;"czarny";"Polska";"Polska";"manualna"
15900;"PLN";15900;116;85;"Ford";"Galaxy";"Mk2";"4/5";1998;231000;"benzyna";2001;"bordowy-metallic";"Polska";"Polska";"manualna"
10900;"PLN";10900;125;92;"Ford";"Mondeo";"Mk3";"4/5";1800;199000;"benzyna";2001;"granatowy-metallic";"Polska";"Polska";"manualna"
22500;"PLN";22500;101;74;"Opel";"Astra";"III";"4/5";1700;135000;"olej napedowy (diesel)";2005;"granatowy-metallic";"Niemcy";"Niemcy";"manualna"
3500;"PLN";3500;90;66;"Renault";"Megane";"I";"2/3";1598;NA;"benzyna";1996;"zolty";"Polska";"";"manualna"
20400;"PLN";20400;90;66;"Opel";"Astra";"III";"4/5";1400;123000;"benzyna";2006;"srebrny-metallic";"Polska";"Niemcy";"manualna"
9900;"PLN";9900;125;92;"Opel";"Vectra";"B";"4/5";2171;NA;"olej napedowy (diesel)";2000;"srebrny-metallic";"Polska";"Niemcy";"manualna"
4000;"PLN";4000;NA;NA;"Ford";"Mondeo";"";"4/5";1800;NA;"benzyna";1994;"bordowy";"";"";"manualna"
8900;"PLN";8900;NA;NA;"Renault";"Vel Satis";"";"4/5";3000;127000;"olej napedowy (diesel)";2003;"grafitowy-metallic";"Polska";"";"automatyczna"
124900;"CZK";21370,39;131;96;"Ford";"Mondeo";"";"4/5";1798;172569;"benzyna";2004;"";"";"Czechy";"manualna"
149166;"CZK";25522,3026;120;88;"Renault";"Espace";"";"4/5";1870;182000;"olej napedowy (diesel)";2007;"szary";"";"Belgia";"manualna"
5899;"EUR";26054,7032;90;66;"Ford";"Focus";"Mk2";"4/5";1560;145000;"olej napedowy (diesel)";2008;"granatowy";"";"Niemcy";"manualna"
6700;"PLN";6700;125;92;"Ford";"Puma";"";"2/3";1679;196000;"benzyna";1999;"czarny-metallic";"Polska";"";"manualna"
31900;"PLN";31900;120;88;"Opel";"Zafira";"B";"4/5";1900;NA;"olej napedowy (diesel)";2007;"szary-metallic";"";"";"manualna"
31900;"PLN";31900;101;74;"Opel";"Vivaro";"";"4/5";1900;219000;"olej napedowy (diesel)";2005;"bialy";"";"Belgia";"manualna"
25900;"PLN";25900;68;50;"Renault";"Clio";"III";"2/3";1461;85000;"olej napedowy (diesel)";2007;"srebrny-metallic";"Polska";"Polska";"manualna"
3200;"PLN";3200;109;80;"Ford";"Focus C-Max";"";"4/5";NA;20000;"olej napedowy (diesel)";2006;"";"";"";"manualna"
63550;"PLN";63550;125;92;"Ford";"Focus";"Mk2";"4/5";1598;NA;"benzyna";2011;"srebrny-metallic";"";"";"manualna"
9900;"PLN";9900;115;85;"Ford";"Focus";"Mk1";"4/5";1796;156000;"benzyna";1998;"zielony-metallic";"";"";"manualna"
8900;"PLN";8900;75;55;"Renault";"Twingo";"";"2/3";1149;14000;"benzyna";2010;"czerwony";"Francja";"Francja";"manualna"
5300;"PLN";5300;60;44;"Renault";"Clio";"II";"4/5";1149;138000;"benzyna";1998;"granatowy";"";"Niemcy";"manualna"
38800;"PLN";38800;NA;NA;"Ford";"Galaxy";"Mk3";"4/5";NA;146000;"olej napedowy (diesel)";2007;"srebrny-metallic";"";"Niemcy";"manualna"
8200;"PLN";8200;NA;NA;"Opel";"Astra";"II";"4/5";1995;160000;"olej napedowy (diesel)";2000;"bialy-metallic";"";"Niemcy";"manualna"
8900;"PLN";8900;NA;NA;"Renault";"Clio";"II";"4/5";1200;76000;"benzyna";2000;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
11999;"PLN";11999;NA;NA;"Ford";"Fiesta";"Mk6";"";1300;96000;"benzyna";2002;"srebrny";"Polska";"";""
24900;"PLN";24900;115;85;"Renault";"Espace";"IV";"4/5";1870;157000;"olej napedowy (diesel)";2006;"";"";"";"manualna"
6900;"PLN";6900;100;74;"Opel";"Vectra";"B";"4/5";1598;154000;"benzyna";1998;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
11200;"PLN";11200;65;48;"Renault";"Clio";"II";"4/5";1461;91000;"olej napedowy (diesel)";2004;"srebrny-metallic";"";"Francja";"manualna"
98900;"CZK";16921,79;90;66;"Ford";"Mondeo";"";"4/5";1998;143000;"olej napedowy (diesel)";2003;"srebrny-metallic";"";"Niemcy";"manualna"
9800;"PLN";9800;82;60;"Opel";"Astra";"II";"4/5";2000;NA;"olej napedowy (diesel)";1999;"granatowy-metallic";"Polska";"";"manualna"
4900;"PLN";4900;NA;NA;"Renault";"Megane";"I";"4/5";1900;NA;"olej napedowy (diesel)";2000;"zielony-metallic";"";"Belgia";"manualna"
31490;"PLN";31490;75;55;"Renault";"Thalia";"";"4/5";1149;NA;"benzyna";2011;"";"";"";"manualna"
89000;"CZK";15227,9;102;75;"Renault";"Scenic";"";"4/5";1870;154725;"olej napedowy (diesel)";2002;"niebieski";"";"";"manualna"
19000;"CZK";3250,9;50;37;"Ford";"Fiesta";"";"2/3";1299;247147;"benzyna";2001;"niebieski";"";"Niemcy";""
7200;"PLN";7200;101;74;"Opel";"Vectra";"B";"4/5";1998;227000;"olej napedowy (diesel)";1998;"granatowy-metallic";"";"";"manualna"
36000;"PLN";36000;NA;NA;"Ford";"C-MAX";"";"4/5";1600;NA;"olej napedowy (diesel)";2009;"szary-metallic";"";"Belgia";"manualna"
32500;"PLN";32500;100;74;"Opel";"Astra";"III";"4/5";1910;166000;"olej napedowy (diesel)";2008;"czarny-metallic";"Niemcy";"Niemcy";"manualna"
6500;"PLN";6500;NA;NA;"Opel";"Astra";"I";"4/5";1389;179000;"benzyna";1999;"bialy";"";"";"manualna"
249000;"CZK";42603,9;110;81;"Ford";"Mondeo";"";"4/5";1596;79000;"benzyna+LPG";2009;"czarny-metallic";"";"Czechy";"manualna"
56000;"PLN";56000;115;85;"Ford";"Focus";"Mk2";"4/5";1753;15300;"olej napedowy (diesel)";2010;"czarny-metallic";"";"";"manualna"
51500;"PLN";51500;145;107;"Ford";"Mondeo";"Mk4";"4/5";2000;68000;"benzyna";2009;"grafitowy-metallic";"Polska";"Polska";"manualna"
16900;"PLN";16900;107;79;"Renault";"Laguna";"II";"4/5";1870;198000;"olej napedowy (diesel)";2004;"";"";"";"manualna"
21900;"PLN";21900;90;66;"Ford";"Focus";"Mk2";"4/5";1600;119000;"olej napedowy (diesel)";2008;"granatowy";"Polska";"Polska";"manualna"
44800;"PLN";44800;125;92;"Ford";"Mondeo";"Mk4";"4/5";1800;112000;"olej napedowy (diesel)";2009;"szary-metallic";"Polska";"";"manualna"
10900;"PLN";10900;90;66;"Ford";"Mondeo";"Mk3";"4/5";1998;NA;"olej napedowy (diesel)";2006;"";"";"";"manualna"
39500;"PLN";39500;150;110;"Opel";"Vectra";"C";"4/5";1900;84000;"olej napedowy (diesel)";2008;"srebrny-metallic";"";"";"manualna"
10900;"PLN";10900;75;55;"Opel";"Corsa";"C";"2/3";1199;65700;"benzyna";2004;"srebrny-metallic";"Polska";"Polska";"manualna"
55900;"PLN";55900;150;110;"Renault";"Trafic";"";"4/5";2464;130000;"olej napedowy (diesel)";2009;"srebrny-metallic";"";"Polska";"manualna"
259900;"CZK";44468,89;110;81;"Renault";"Fluence";"";"4/5";1600;NA;"benzyna";2011;"";"";"Czechy";""
16900;"PLN";16900;100;74;"Opel";"Meriva";"";"4/5";1700;168605;"olej napedowy (diesel)";2004;"grafitowy-metallic";"";"";"manualna"
29900;"PLN";29900;NA;NA;"Ford";"Fiesta";"Mk6";"4/5";1400;7000;"olej napedowy (diesel)";2009;"niebieski-metallic";"";"";""
10800;"PLN";10800;75;55;"Ford";"Focus";"Mk1";"4/5";1800;207000;"olej napedowy (diesel)";2003;"srebrny";"Polska";"";"manualna"
7900;"PLN";7900;131;96;"Ford";"Mondeo";"Mk2";"4/5";1988;181000;"benzyna";2000;"fioletowy-metallic";"";"";"manualna"
13500;"PLN";13500;75;55;"Opel";"Astra";"II";"4/5";1686;NA;"olej napedowy (diesel)";2001;"szary-metallic";"";"";"manualna"
23333;"PLN";23333;101;74;"Opel";"Vivaro";"";"4/5";1870;191000;"olej napedowy (diesel)";2003;"srebrny-metallic";"";"";"manualna"
45900;"PLN";45900;110;81;"Renault";"Megane";"III";"4/5";1598;43000;"benzyna";2010;"bordowy-metallic";"Polska";"Polska";"manualna"
3900;"PLN";3900;NA;NA;"Renault";"Twingo";"";"2/3";1200;190000;"benzyna";1999;"niebieski-metallic";"";"Niemcy";"manualna"
2200;"PLN";2200;60;44;"Ford";"KA";"";"2/3";1299;80000;"benzyna";1997;"czerwony";"Niemcy";"Niemcy";"manualna"
11900;"PLN";11900;70;51;"Ford";"KA";"";"2/3";1299;133000;"benzyna";2004;"srebrny-metallic";"";"";"manualna"
16800;"PLN";16800;101;74;"Opel";"Combo";"";"4/5";1700;190000;"olej napedowy (diesel)";2005;"niebieski-metallic";"Polska";"Polska";"manualna"
13700;"PLN";13700;150;110;"Renault";"Laguna";"II";"4/5";2188;183461;"olej napedowy (diesel)";2002;"srebrny-metallic";"Polska";"Francja";"manualna"
25900;"PLN";25900;120;88;"Renault";"Grand Scenic";"";"4/5";1900;166000;"olej napedowy (diesel)";2006;"srebrny-metallic";"Polska";"Francja";"manualna"
11500;"PLN";11500;115;85;"Ford";"Mondeo";"Mk3";"4/5";1998;199000;"olej napedowy (diesel)";2001;"srebrny-metallic";"";"Austria";"manualna"
2255;"PLN";2255;NA;NA;"Ford";"KA";"";"2/3";1300;NA;"benzyna";1997;"bialy";"Niemcy";"Niemcy";"manualna"
28400;"PLN";28400;120;88;"Opel";"Vectra";"C";"4/5";1900;62000;"olej napedowy (diesel)";2006;"szary-metallic";"";"";"manualna"
9900;"PLN";9900;60;44;"Renault";"Clio";"II";"4/5";1149;1e+05;"benzyna";2004;"zielony-metallic";"";"Niemcy";"manualna"
89990;"PLN";89990;140;103;"Ford";"Mondeo";"Mk4";"4/5";1997;5;"olej napedowy (diesel)";2011;"czarny-metallic";"";"Polska";"manualna"
129000;"CZK";22071,9;120;88;"Renault";"Grand Scenic";"";"4/5";1870;147000;"olej napedowy (diesel)";2004;"wilniowy-metallic";"";"Niemcy";"manualna"
16900;"PLN";16900;100;74;"Opel";"Meriva";"";"4/5";1686;178342;"olej napedowy (diesel)";2003;"granatowy-metallic";"Belgia";"Belgia";"manualna"
11900;"PLN";11900;82;60;"Opel";"Astra";"II";"4/5";1995;159000;"olej napedowy (diesel)";2000;"srebrny-metallic";"";"Niemcy";"manualna"
87000;"CZK";14885,7;90;66;"Ford";"Mondeo";"";"4/5";1998;169000;"olej napedowy (diesel)";2001;"srebrny-metallic";"";"Wlochy";"manualna"
41500;"PLN";41500;125;92;"Ford";"Mondeo";"Mk4";"4/5";1753;140000;"olej napedowy (diesel)";2008;"zloty-metallic";"Polska";"Belgia";"manualna"
11600;"PLN";11600;145;107;"Renault";"Laguna";"II";"4/5";2000;NA;"benzyna";2003;"niebieski-metallic";"Niemcy";"Niemcy";"manualna"
159000;"CZK";27204,9;101;74;"Ford";"Focus C-Max";"";"4/5";1596;122217;"benzyna";2006;"szary-metallic";"";"Niemcy";"manualna"
139900;"CZK";23936,89;150;110;"Renault";"Espace";"";"4/5";2188;159000;"olej napedowy (diesel)";2005;"";"";"Austria";"manualna"
16400;"PLN";16400;150;110;"Opel";"Omega";"B FL";"4/5";2500;171000;"olej napedowy (diesel)";2003;"szary-metallic";"Polska";"Niemcy";"manualna"
66900;"PLN";66900;150;110;"Renault";"Laguna";"III";"4/5";1995;7000;"olej napedowy (diesel)";2010;"grafitowy-metallic";"Polska";"Polska";"manualna"
44800;"PLN";44800;82;60;"Ford";"Fiesta";"";"4/5";1250;NA;"benzyna";2011;"srebrny-metallic";"";"";"manualna"
228333;"CZK";39067,7763;150;110;"Renault";"Laguna";"";"4/5";1995;160700;"olej napedowy (diesel)";2008;"czarny-metallic";"";"";"automatyczna"
19900;"CZK";3404,89;54;40;"Renault";"Twingo";"";"2/3";1239;208335;"benzyna";1993;"czerwony-metallic";"";"Niemcy";"manualna"
25500;"PLN";25500;85;63;"Renault";"Megane";"II";"4/5";1461;120000;"olej napedowy (diesel)";2008;"granatowy";"Polska";"Francja";"manualna"
12900;"PLN";12900;75;55;"Opel";"Astra";"II";"4/5";1686;189000;"olej napedowy (diesel)";2002;"czerwony-metallic";"";"Niemcy";"manualna"
21800;"PLN";21800;109;80;"Ford";"C-MAX";"";"4/5";1600;NA;"olej napedowy (diesel)";2004;"szary-metallic";"";"";"manualna"
10000;"PLN";10000;NA;NA;"Opel";"Corsa";"C";"2/3";NA;112000;"benzyna";2002;"srebrny-metallic";"Polska";"";"automatyczna"
16666;"PLN";16666;101;74;"Opel";"Zafira";"A";"4/5";1998;115700;"olej napedowy (diesel)";2001;"grafitowy-metallic";"";"Wlochy";"manualna"
33500;"PLN";33500;90;66;"Ford";"Focus C-Max";"";"4/5";1600;140000;"olej napedowy (diesel)";2008;"srebrny-metallic";"Francja";"Francja";"manualna"
19800;"PLN";19800;177;130;"Opel";"Vectra";"C";"4/5";2958;NA;"olej napedowy (diesel)";2004;"czarny-metallic";"Polska";"Polska";"manualna"
49800;"PLN";49800;140;103;"Ford";"Galaxy";"Mk3";"4/5";1997;149000;"olej napedowy (diesel)";2007;"grafitowy-metallic";"Polska";"";"manualna"
3700;"PLN";3700;75;55;"Opel";"Corsa";"C";"2/3";1199;185000;"benzyna";2001;"";"Wielka Brytania";"Wielka Brytania";"manualna"
29500;"PLN";29500;150;110;"Opel";"Vectra";"C";"4/5";1910;127000;"olej napedowy (diesel)";2006;"srebrny-metallic";"Polska";"";"automatyczna"
32900;"PLN";32900;120;88;"Opel";"Zafira";"B";"4/5";1900;128000;"olej napedowy (diesel)";2006;"granatowy-metallic";"Polska";"Belgia";"manualna"
5600;"PLN";5600;NA;NA;"Renault";"Laguna";"II";"4/5";1800;NA;"benzyna";2005;"bordowy-metallic";"Wielka Brytania";"Wielka Brytania";"manualna"
14999;"PLN";14999;115;85;"Ford";"Focus";"Mk1";"4/5";1753;174000;"olej napedowy (diesel)";2002;"czarny-metallic";"";"Belgia";"manualna"
2250;"PLN";2250;NA;NA;"Ford";"Escort";"Mk7";"4/5";NA;186000;"olej napedowy (diesel)";1997;"";"Niemcy";"Niemcy";"manualna"
9500;"PLN";9500;82;60;"Opel";"Astra";"II";"4/5";2000;136000;"olej napedowy (diesel)";1999;"srebrny-metallic";"Polska";"Niemcy";"manualna"
6700;"PLN";6700;NA;NA;"Opel";"Corsa";"B";"4/5";1400;160000;"benzyna";1996;"czarny";"";"Niemcy";"manualna"
85000;"CZK";14543,5;90;66;"Ford";"Focus";"";"2/3";1560;110000;"olej napedowy (diesel)";2002;"niebieski";"";"Francja";"manualna"
12900;"PLN";12900;130;96;"Ford";"Mondeo";"Mk3";"4/5";1998;243000;"olej napedowy (diesel)";2001;"grafitowy-metallic";"";"Francja";"manualna"
199000;"CZK";34048,9;109;80;"Ford";"Focus";"";"4/5";1560;166000;"olej napedowy (diesel)";2008;"niebieski";"";"Niemcy";"manualna"
217000;"CZK";37128,7;116;85;"Ford";"Focus";"";"4/5";1753;108697;"olej napedowy (diesel)";2008;"";"";"";"manualna"
12900;"PLN";12900;82;60;"Renault";"Clio";"II";"4/5";1461;NA;"olej napedowy (diesel)";2002;"srebrny-metallic";"";"Niemcy";"manualna"
